name,count,min,max,mean,stdev,rate
Array of IDs (GIN),11,1.383800156,1.470743614,1.418614418,0.025520547259075776,0.7049131795867593
Array of Names (GIN),11,1.370008184,1.436324232,1.4008472602727273,0.023399834332885037,0.7138537000852703
HStore Names (GIN),11,1.371294716,1.418152684,1.3920835105454545,0.014625524052083465,0.718347708614244
HStore IDs (GIN),11,1.37720851,1.432878162,1.4008616113636363,0.017447121606061135,0.7138463870293177
HStore IDs (GiST),86,0.112258532,0.129642132,0.11757389044186047,0.0038039394381972785,8.505289705408648
HStore Names (GiST),21,0.474021921,0.522637537,0.4893551216190476,0.014232231447048573,2.0435057401493357
Join Table,11,27.248203548,27.888034694,27.501624298363637,0.23039471831624114,0.036361488657944495
Varchar,11,3.181549126,3.293103135,3.2130828164545453,0.034513855032781045,0.3112275833286623
